"no","name","code","type","address","lng","lat","sigudong"
7304,"(주)태신인팩",22,"수질오염","서울특별시 금천구 가산동 703번지 ",126.88640440958,37.4659622937101,"서울특별시 금천구 가산동"
7305,"(주)에이치에스광장",22,"수질오염","서울특별시 금천구 가산동 319-8번지 ",126.885945388079,37.4722689242186,"서울특별시 금천구 가산동"
7306,"(주)그래픽아트",22,"수질오염","서울특별시 금천구 가산동 345-9번지 SK트윈타워B-6123 ",126.882941293148,37.4756524310186,"서울특별시 금천구 가산동"
7307,"(주)케이씨아이",22,"수질오염","서울특별시 금천구 가산동 371-16번지 아이티캐슬2 901호",126.882047701516,37.4776804348711,"서울특별시 금천구 가산동"
7308,"(주)더그라픽스미디어",22,"수질오염","서울특별시 금천구 가산동 371-50번지 하이앤드3차 511호",126.881708592297,37.4781453769101,"서울특별시 금천구 가산동"
7309,"삼흥프레시젼(주)",22,"수질오염","서울특별시 금천구 가산동 143-22번지 ",126.890590884558,37.4773706882764,"서울특별시 금천구 가산동"
7310,"(주)탑테크이십일",22,"수질오염","서울특별시 금천구 가산동 371-51번지 202호",126.880462309648,37.4784666838285,"서울특별시 금천구 가산동"
7311,"(주)식스플러스",22,"수질오염","서울특별시 금천구 가산동 371-8번지 ",126.87973333124,37.4797984459862,"서울특별시 금천구 가산동"
7312,"(주)플러스세정",22,"수질오염","서울특별시 금천구 독산동 151-16번지 123층 ",126.89700739153,37.4723129617926,"서울특별시 금천구 독산동"
7313,"(주)플러스세정",22,"수질오염","서울특별시 금천구 독산동 151-17번지 ",126.897023999546,37.4724850691703,"서울특별시 금천구 독산동"
7314,"제일모델",22,"수질오염","서울특별시 금천구 독산동 295-19번지 4층 ",126.895148194063,37.47143176067,"서울특별시 금천구 독산동"
7315,"(주)디앤씨프로세스",22,"수질오염","서울특별시 금천구 가산동 60-21번지 아이티미래타워 503호 ",126.886189586089,37.4789688852752,"서울특별시 금천구 가산동"
7316,"바이오코아(주)",22,"수질오염","서울특별시 금천구 가산동 60-21번지 IT미래타워 9층 ",126.886189586089,37.4789688852752,"서울특별시 금천구 가산동"
7317,"(주)마크로젠",22,"수질오염","서울특별시 금천구 가산동 60-24번지 월드메르디앙벤처센터 1001-1008 908-911 ",126.885346510446,37.4777129647089,"서울특별시 금천구 가산동"
7318,"(주)엠지메드",22,"수질오염","서울특별시 금천구 가산동 60-24번지 월드메르디앙벤처센터 1011호",126.885346510446,37.4777129647089,"서울특별시 금천구 가산동"
7319,"(주)대양글로벌",22,"수질오염","서울특별시 금천구 독산동 302-9번지 ",126.892426639045,37.4706940000087,"서울특별시 금천구 독산동"
7320,"한일정공",21,"대기오염","서울특별시 금천구 시흥동 995-23번지 ",126.898749140786,37.4533528615753,"서울특별시 금천구 시흥동"
7321,"(주)플러스세정",21,"대기오염","서울특별시 금천구 독산동 151-16번지 123층 ",126.89700739153,37.4723129617926,"서울특별시 금천구 독산동"
7322,"(주)플러스세정",21,"대기오염","서울특별시 금천구 독산동 151-17번지 ",126.897023999546,37.4724850691703,"서울특별시 금천구 독산동"
7323,"제일모델",21,"대기오염","서울특별시 금천구 독산동 295-19번지 ",126.895148194063,37.47143176067,"서울특별시 금천구 독산동"
7324,"학림공업(주)",21,"대기오염","서울특별시 금천구 가산동 345-34번지 외7 ",126.880642959376,37.4739979506885,"서울특별시 금천구 가산동"
7325,"제우산업",21,"대기오염","서울특별시 금천구 가산동 60-24번지 월드메르디앙벤처센터 1409호 ",126.885346510446,37.4777129647089,"서울특별시 금천구 가산동"
7326,"(주)대림진공열처리",21,"대기오염","서울특별시 금천구 독산동 302-7번지 ",126.892407298456,37.4710952022238,"서울특별시 금천구 독산동"
7327,"(주)대양글로벌",21,"대기오염","서울특별시 금천구 독산동 302-9번지 ",126.892426639045,37.4706940000087,"서울특별시 금천구 독산동"
7328,"(주)디테일베이스",21,"대기오염","서울특별시 금천구 가산동 146-73번지 ",126.893258514278,37.477866520887,"서울특별시 금천구 가산동"
7329,"한국세라믹기술원",22,"수질오염","서울특별시 금천구 가산동 233-5번지 ",126.890859749866,37.4755692787437,"서울특별시 금천구 가산동"
